id_transaccion,fecha_venta,fecha_envio,id_cliente,nombre_cliente,apellido_cliente,email_cliente,pais_cliente,genero_cliente,estado_civil_cliente,id_producto,codigo_producto,nombre_producto,categoria_producto,subcategoria_producto,costo_fabricacion,cantidad,precio_unitario,monto_total,metodo_pago
TRX-104961,09/01/2025,20250114,CLI-0535,Carlos Diego,Torres Ruiz,carlos.torres@hotmail.com,,Female,C,PRD-064,SKU-HOG-064,Producto Decoracion 64,Hogar,Decoracion,107.81,14,130.33,1824.62,Efectivo
TRX-109943,20260613,20260615,CLI-0039,Carlos Jorge,Flores Gomez,carlosflores75@hotmail.com,ES,n/a,Soltero,PRD-069,SKU-DEP-069,Producto Ropa 69,Deporte,Ropa,119.02,2,273.98,547.96,Paypal
TRX-107638,20251017,20251020,CLI-0030,Luis Lucia,Rodriguez Alvarez,luisrodriguez86@outlook.com,Espana,n/a,S,PRD-049,SKU-DEP-049,Producto Ropa 49,Deporte,Ropa,188.34,7,297.37,2081.59,Tarjeta
TRX-107827,20260708,20260718,CLI-0119,Daniel Fernando,Garcia Gomez,danielgarcia87@gmail.com,ES,M,Casado,PRD-070,SKU-ELE-070,Producto Smartphones 70,Electronica,Smartphones,176.03,14,275.66,3859.24,Transferencia
TRX-107103,20250624,20250628,CLI-0423,Daniel,Alvarez Ramirez,danielalvarez95@hotmail.com,Estados Unidos,F,C,PRD-009,SKU-DEP-009,Producto Calzado 9,Deporte,Calzado,129.82,2,288.9,577.8,Paypal
TRX-101792,20250413,20250420,CLI-0338,Daniel Sofia,Gomez Sanchez,daniel.gomez@gmail.com,Mexico,Female,Soltero,PRD-070,SKU-ELE-070,Producto Smartphones 70,Electronica,Smartphones,176.03,6,249.3,1495.8,Tarjeta
TRX-103525,20251201,20251210,CLI-0349,Lucia,Perez Gonzalez,luciaperez@empresa.com,Espana,n/a,Soltero,PRD-058,SKU-DEP-058,Producto Calzado 58,Deporte,Calzado,91.03,6,113.71,682.26,Tarjeta
TRX-106176,25/08/2026,,CLI-0353,Fernando,Martinez Diaz,fmartinez@empresa.com,Espana,n/a,C,PRD-024,SKU-DEP-024,Producto Ropa 24,Deporte,Ropa,57.74,14,114.83,1607.62,Tarjeta
TRX-104263,20260820,,CLI-0304,Juan,Romero Diaz,juan.romero@outlook.com,,n/a,Casado,PRD-065,SKU-ELE-065,Producto Laptops 65,Electronica,Laptops,31.64,11,63.68,700.48,Efectivo
TRX-104909,20250812,20250815,CLI-0003,Carmen Javier,Rodriguez Diaz,carmen.rodriguez@gmail.com,Estados Unidos,M,Soltero,PRD-071,SKU-ELE-071,Producto Audio 71,Electronica,Audio,78.61,12,142.19,1706.28,Transferencia
TRX-103773,20250519,20250522,CLI-0550,Fernando Pedro,Perez Ruiz,fernandoperez@empresa.com,Mexico,Female,C,PRD-042,SKU-ELE-042,Producto Smartphones 42,Electronica,Smartphones,154.3,2,381.38,762.76,Paypal
TRX-101072,20260813,,CLI-0508,Elena Diego,Gonzalez Suarez,elenagonzalez@outlook.com,Estados Unidos,n/a,S,PRD-078,SKU-ELE-078,Producto Smartphones 78,Electronica,Smartphones,198.57,11,420.93,4630.23,Efectivo
TRX-109891,24/10/2025,20251026,CLI-0118,Diego Rosa,Diaz Romero,diegodiaz85@yahoo.com,Espana,n/a,Soltero,PRD-001,SKU-HOG-001,Producto Decoracion 1,Hogar,Decoracion,57.4,12,138.44,1661.28,Transferencia
TRX-100351,20251107,20251117,CLI-0053,Marta,Garcia Ramirez,marta.garcia@yahoo.com,USA,Female,Soltero,PRD-036,SKU-DEP-036,Producto Accesorios 36,Deporte,Accesorios,92.56,4,171.29,685.16,Efectivo
TRX-107336,20251012,20251016,CLI-0132,Marta,Vargas Gonzalez,martavargas@gmail.com,Mexico,Male,Casado,PRD-079,SKU-DEP-079,Producto Calzado 79,Deporte,Calzado,45.71,7,88.43,619.01,Paypal
TRX-102508,20250905,20250908,CLI-0025,Luis Ana,Diaz Rodriguez,luisdiaz@outlook.com,Espana,n/a,Soltero,PRD-073,SKU-ELE-073,Producto Smartphones 73,Electronica,Smartphones,194.69,10,248.21,2482.1,Paypal
TRX-107431,20260402,20260411,CLI-0001,Jorge,Lopez Garcia,jorgelopez79@outlook.com,US,Female,C,PRD-029,SKU-ELE-029,Producto Laptops 29,Electronica,Laptops,191.94,7,262.18,1835.26,Paypal
